Method,Mean_Diff,Cohens_d,Effect_Size
mBERT,0.010073439442938259,1.7933923628296788,Large
Tagalog_Tok,-0.004090157035187558,-0.6806708405514372,Medium
Slang,0.0013206518884660845,0.21535318773513581,Small
Stopwords,-0.0009418619868669653,-0.13668496007296715,Negligible
mBERT_Slang,0.009632184920012055,1.6871378016988032,Large
TagTok_Slang,-0.0030899600696243645,-0.5502978141824554,Medium
mBERT_Stop,0.010343717872098646,1.7943675624180513,Large
TagTok_Stop,-0.004760406874391276,-0.8033184074221558,Large
mBERT_Slang_Stop,0.011204099112772758,1.961267346855222,Large
TagTok_Slang_Stop,-0.0036676442223171346,-0.5900837350901927,Medium
